code_muni,dcl,rcl
1504307,42516965,57371014
1504422,182343028,211379553
1504505,2771734,63551600
1504604,25302128,80384975
1504703,-9561032,67203624
1504752,412199,36897338
1504802,20155283,118298926
1504950,713001,46357228
1504976,13176136,37767778
1505007,5472956,28959157
1505031,17190568,77849340
1505064,107177,160840583
1505106,7092158,95924656
1505205,-512952,69214671
1505304,-1891165,207783642
1505403,20816773,38163630
1505486,-3826079,87404549
1505494,-2082575,21617902
1505502,-56324849,291330074
1505536,-251679650,1151911945
1505551,10558444,24314608
1505601,-213734,19620243
1505635,3216941,35138475
1505650,-10470214,53116980
1505700,24370835,47320235
1505809,614280,125932565
1505908,-2073686,95885245
1506005,-3446264,69536894
1506104,5499634,24797771
1506112,22817144,22132405
1506195,2156117,64358679
1506203,36193917,72692873
1506302,-3049211,61072719
1506351,1017098,36265982
1506401,1659555,19319540
1506500,-4028341,120657791
1506559,140400,41571374
1506583,-3069750,46066967
1506609,17986087,40966058
1506708,6724115,104118494
1506807,65712742,595364348
1507003,-4897134,57063760
1507102,36252708,
1507300,17019997,173061389
1507409,11656605,34976361
1507466,-2182634,16748323
1507474,-7290756,44055648
1507607,42188578,99984945
1507706,-1275259,53265400
1507755,591657,21440575
1507805,-877876,40473252
1507904,2628267,45177239
1507953,73729063,145038197
1507961,506313,23175557
1507979,3832710,58838117
1508001,147555517,133263367
1508035,434511,54715914
1508050,7805594,39344876
1508084,-6580495,93435738
1508100,23757992,304488928
1508126,-496972,85575993
1508159,68337801,97951369
1508209,17396035,69886230
1508308,38925649,120529635
1508407,23263430,117223182
1600055,-712812,15784535
1600105,5221636,13827478
1600154,18988095,48900792
1600204,4159916,20790335
1600238,-4417722,31708299
1600253,-336229,12398331
1600279,28526987,72544197
1600303,73324913,764413234
1600402,-1060596,29322215
1600501,-3970498,38264056
1600535,-6489660,34212149
1600550,-8457952,10185653
1600600,-27345953,141448938
1600709,-7265533,23000379
1600808,-3708557,30528970
1700251,-2452204,10841009
1700301,-597694,18897722
1700350,-1917582,14264350
1700400,13768154,16931277
1700707,-3300194,27466267
1701002,3581387,21186250
1701051,-670895,11143446
1701101,-193134,15025595
1701309,4285301,13318179
1701903,1602302,17555858
1702000,7874028,21468868
1702109,-45660987,407502464
1702208,-8187813,59610412
1702307,3378796,15064342
1702406,658888,27277642
1702554,6625706,34107066
1702703,-2188247,9576287
1702901,48400307,26151105
1703008,8922285,21888146
1703057,248238,14996968
1703073,20655,13511831
1703107,5304689,14376985
1703206,-1152474,14723018
1703305,112836,11536482
1703602,-685799,10608137
1703701,662997,15927981
1703800,9202668,19053614
1703826,-791861,10332887
1703842,-1490354,25686230
1703867,-1767856,24210316
1703883,246855,
1703891,6568392,12815646
1703909,2946256,17483301
1704105,-287660,10125305
1704600,-1389373,9054126
1705102,2407837,11611252
1705508,17416176,79228274
1705557,-1974276,10482132
1705607,-136543,12916838
1706001,582544,15943924
1706100,434534,16374637
1706258,541565,10141103
1706506,-1920513,14588266
1707009,-28549278,40230370
1707108,4647280,17333210
1707207,-4017550,16473666
1707306,92280,14393386
1707405,6741080,22350313
1707553,1057832,11023930
1707652,2139649,15867780
1707702,808537,17971839
1708205,-224208,38565644
1708254,-5064786,16008237
1708304,3333903,15174873
1709005,11379604,28327144
1709302,-5615692,53321643
1709500,-56158392,262528545
1709807,224397,9904893
1710508,8214023,17751174
1710706,6360251,14126064
1710904,-551184,12488220
1711100,2307,11353387
1711506,1085558,13637950
1711803,256923,
1711902,18280505,33082784
1711951,2571531,11144661
1712009,-1997515,30864540
1712157,-617314,9223458
1712405,-3048653,10721476
1712454,-1411501,10483933
1712504,-6102059,16782568
1712702,-1465777,13540082
1712801,5009175,13750149
1713205,15933740,51874344
1713304,1785367,30030982
1713601,-7699389,16325499
1713700,-1145558,10168968
1713809,-41687,14082702
1713957,-419726,13181278
1714203,-126232,19291618
1714302,418328,11953506
1714880,1009516,27414674
1715002,744423,11359668
1715101,899172,12325630
1715150,-1080299,8397135
1715259,-297447,9579236
1715507,-878553,7719468
1715705,3960150,17735665
1715754,-3167754,20341481
1716109,-3476741,99799518
1716208,3079991,30420649
1716307,-717393,13395613
1716505,5241361,41497427
1716604,1914178,37364795
1716653,-1120177,
1716703,2428273,18348013
1717008,-12069,12254761
1717206,191147,11242752
1717503,-3148083,20202949
1717800,-159501,11242531
1717909,360218,16745525
1718006,-700576,10246815
1718204,-40626052,156091181
1718402,-529707,11214008
1718451,141490,11631719
1718501,-1566464,12099649
1718659,1439317,10076689
1718709,1403248,10603048
1718758,7313379,14158633
1718808,2874824,11083873
1718840,144768,12410813
1718865,887078,15490106
1718881,-528568,10401362
1718899,-1192172,11731992
1718907,-1033612,15918006
1719004,-1079273,10884160
1720002,256209,10710944
1720101,94292,13683683
1720150,-1118792,12717169
1720200,10554397,23978668
1720259,-183974,11766419
1720309,4330201,12312231
1720499,-40624,12313333
1720655,-109987,18508406
1720804,929159,25863784
1720853,-2009279,9088301
1720903,-14577891,33056763
1720937,-3874970,7065932
1720978,-757975,13843415
1721000,-17614553,1036353864
1721109,6643370,16276773
1721208,6421399,44424933
1721257,224953,11361557
1721307,-1374888,10698200
1722081,-2196979,22994388
1722107,2898029,28346538
2100055,-23330029,225701458
2100204,-7166739,
2100303,4442819,61813797
2100402,451998,21875201
2100436,2197473,50177544
2100477,-4508478,68669781
2100501,-1224975,30780687
2100550,-3177888,18983698
2100832,326357,40952100
2100873,-2723148,32856485
2100956,-916418,52867220
2101004,28891421,61877884
2101202,34759285,184823059
2101251,-1077589,49052097
2101301,16734043,35187278
2101350,-165041,16266505
2101400,-9384416,217365563
2101509,-47269,35294371
2101707,-12671563,122695897
2101731,9882236,27049620
2101772,2524790,30717695
2101806,-284589,15572866
2101905,9387164,42663505
2101939,-4006629,16604962
2101970,17314654,17633247
2102002,-15968113,82234425
2102077,122628,27777421
2102101,14453330,67956079
2102150,2619038,23151478
2102200,23875465,65564803
2102325,29071250,133102913
2102374,-1290571,20623096
2102408,7563445,22654059
2102507,1713761,38326404
2102556,-3648465,32382028
2102606,56403,39680078
2102705,3872,43432754
2102754,22103066,38463587
2102804,1740109,54107603
2102903,4703910,49498475
2103000,137262486,378431723
2103158,4748438,37954109
2103208,35879472,143159571
2103307,89197978,236710299
2103406,13558026,95313232
2103505,19114320,73206814
2103554,-1417232,37884622
2103604,-3416759,113437547
2103703,1359713,55715819
2103752,-2834984,33017627
2103802,-2544123,43719945
2103901,-450478,30576817
2104008,-1488280,39150234
2104057,18244509,96549852
2104107,-3762497,32035825
2104305,-665470,29093924
2104404,65092,36381319
2104503,97770,26451030
2104602,8450233,32401784
2104628,-619342,16580279
2104677,-10662121,56412101
2104909,-4728781,34214546
2105005,2698359,63731036
2105104,21320236,50885546
2105153,202829,43120383
2105203,-924972,32748860
2105302,159619029,662844799
2105401,53496706,118074298
2105427,-3048553,50702623
2105476,16447,37848826
2105500,-3712088,53129057
2105658,-2586882,16694445
2105708,82586773,86743334
2105807,11623201,28380780
2105922,-2669546,24753956
2105948,-227373,20614179
2105989,-2529700,18119476
2106003,-6991838,48133089
2106102,-1494456,26705670
2106201,6727129,14946929
2106300,2082883,39802365
2106326,-4185104,
2106359,-1828773,19211642
2106375,-197766,42256866
2106409,1649133,46401121
2106508,1662622,46195137
2106607,10655500,77674844
2106755,-19800599,66443131
2106904,9511136,73578202
2107100,17678473,42631217
2107209,3050482,34412428
2107357,-193771,43296941
2107407,18008120,50621649
2107456,474280,35269894
2107506,7379887,226863652
2107605,-2102727,42380812
2107704,-20737179,40255049
2107803,1219751,66760429
2108009,-2527004,44522268
2108207,17399599,103125635
2108256,3854746,58607098
2108405,117291,28797094
2108454,-3991194,49569626
2108504,-878136,83196673
2108603,25140271,157633851
2108801,5396252,45070067
2108900,11401734,39989648
2109007,13655452,79664424
2109106,104880,81237495
2109239,-527628,16902902
2109304,-535963,27365332
2109403,-3747335,31299798
2109452,-4443461,50580205
2109502,2603756,48053819
2109601,10597831,84851831
2109700,158487,20116934
2109809,14161214,88716400
2109908,36333028,157849455
2110005,3640932,131200713
2110039,-2862806,
2110203,-1273038,68217569
2110278,11166278,31839478
2110302,26800969,98822563
2110401,-1001880,45194233
2110500,53279394,65783825
2110658,-5795580,21023178
2110708,-4624358,66569661
2110807,1173897,15055710
2110906,-1856117,28028835
2111052,8808600,26031690
2111078,8964070,45573900
2111102,8184850,53622899
2111201,12443199,308042215
2111300,716146480,2641150045
2111409,4099273,46056829
2111508,15237257,82213300
2111532,6146997,27951712
2111631,-964686,16803383
2111672,5176181,17272910
2111722,3607763,29177064
2111904,2330760,25456217
2111953,-2902554,15430750
2112001,21538970,30043797
2112100,7789125,47033838
2112209,103010840,315743637
2112233,-2144758,64306359
2112308,-4698342,85509144
2112407,-1858633,75525531
2112456,12802018,51974380
2112506,23043063,105900949
2112605,24048378,68909334
2112704,971516,95735207
2112803,-970712,95101894
2112902,238784,65197078
2113009,48988212,77599732
2114007,19737211,115985804
2200053,187638,15898981
2200103,347723,12857647
2200202,-2391193,45262969
2200251,-2554960,15940900
2200301,11349154,43310553
2200400,27318097,80514754
2200459,3070180,17774816
2200509,4725625,34411776
2200608,2218373,16686580
2200707,-6841874,20714473
2200806,142790,12562042
2200905,5874289,16788598
2200954,-106301,10443605
2201002,-4827301,9783840
2201051,1998478,21166603
2201101,-1406667,24193422
2201150,-3636621,44364771
2201176,450081,12413447
2201200,49618127,89079821
2201309,1017651,12108823
2201408,2735235,16386014
2201507,22868492,47828928
2201556,57500,12046423
2201572,463206,12509553
2201606,5545163,27928814
2201705,1753033,16229561
2201739,3392407,16464663
2201804,160024,13155614
2201903,7639705,73053927
2201929,-572749,14256082
2201945,1747447,16765718
2201960,6459625,17140744
2201988,-2233837,12803696
2202000,15958330,46710214
2202026,-2182382,18086672
2202059,230000,20069008
2202075,-2480597,17592366
2202083,410488,19602721
2202091,-995,16600745
2202109,1204061,15471902
2202117,-335871,15483202
2202133,848063,15024784
2202174,2747490,20802346
2202208,36770502,135661078
2202251,-632168,12756847
2202307,2861506,45260554
2202406,660,26361159
2202455,7488508,14320163
2202505,1183368,22900629
2202539,2157938,16931862
2202554,-567840,15528687
2202604,30927,43293669
2202653,43511,16390828
2202703,5546528,52879145
2202711,920834,14960810
2202729,2185950,14895138
2202737,1211404,13471386
2202752,3710505,16269650
2202778,3487415,18090969
2202802,60912,13791477
2202851,1945973,13761161
2202901,9545053,56188404
2203008,-1303244,17456160
2203107,956628,26467894
2203206,7056593,24604190
2203230,-1522235,18487565
2203255,731956,12866393
2203271,-206959,16999509
2203305,1812422,33633870
2203354,-182953,17616693
2203404,1573702,15439120
2203420,5949164,13406167
2203453,-192784,21463625
2203503,-562667,29043279
2203602,5121151,13774674
2203701,32442400,68275832
2203800,909475,13770152
2203859,1273774,10732866
2203909,17092017,132063034
2204006,849497,12410973
2204105,4646652,12885861
2204154,1200,10469260
2204204,-7637881,18778367
2204303,3434963,30139443
2204352,6116069,13941451
2204402,44808679,28399350
2204501,2164840,29327240
2204600,6712926,11631839
2204659,1597698,19150255
2204709,1059670,28943433
2204808,3890226,20494398
2204907,248316,18928771
2205003,-113070,25548604
2205102,-10985145,25390693
2205151,2283,15578432
2205201,8445974,41682964
2205250,281756,12426633
2205276,4861167,14933607
2205300,156358,13019939
2205359,241171,11409479
2205409,5178100,34054683
2205458,-639709,15761296
2205508,1794194,75539981
2205516,7903860,15414397
2205524,122515,15348379
2205532,-2272864,16055312
2205540,3231086,10211912
2205565,34000,17405241
2205573,368304,17053846
2205581,24721,14384639
2205607,4754070,16169980
2205706,33152935,66213664
2205805,-2469375,46842879
2205854,2166334,20316422
2205904,-4453925,14353549
2205953,-221878,22490600
2206001,1986353,13279520
2206050,3770902,15015352
2206100,6343669,26034770
2206209,62803078,72578507
2206308,3099892,10678071
2206357,-609034,15953654
2206407,159165,25456581
2206506,-2967259,20224551
2206605,3779610,32064196
2206654,-514577,13919334
2206670,-186834,17933266
2206696,5148089,21754237
2206704,921702,18372713
2206720,1338758,20926202
2206753,7006996,15286797
2206803,4276707,26747194
2206902,1159693,15241214
2206951,1752925,12100911
2207009,25585125,77812621
2207108,10000,10346780
2207207,216449,19432308
2207355,-343597,11538501
2207405,411093,14410085
2207504,6070475,32017610
2207553,1000755,13737047
2207603,130433692,29006314
2207702,11289190,315541722
2207751,259712,14871929
2207777,1881655,13078980
2207793,2006069,12113602
2207801,-342335,50916757
2207850,270321,11477244
2207900,7306406,73850426
2207934,3264806,10856073
2207959,4173857,13814987
2208007,63046945,177543587
2208106,1986685,25040594
2208205,1922079,38165636
2208304,-2217278,52955179
2208403,52422706,123645603
2208502,13663811,28934655
2208551,7406595,11524529
2208601,2247178,11063369
2208650,-3750247,19835831
2208700,4647,20427091
2208809,3656225,36187626
2208858,-210327,15655865
2208874,-2047827,16561465
2209005,1273281,17669805
2209104,3409244,15214720
2209153,125789,12970162
2209203,2579340,27401574
2209302,-59566,13903539
2209351,5659012,12857302
2209377,283646,13635694
2209401,-288591,13693945
2209450,605672,9650520
2209500,118518,12963699
2209609,2252140,
2209708,2301586,19460019
2209757,1558063,10758003
2209807,123029,13303044
2209856,2030177,13097336
2209872,-6108947,15582074
2209906,590189,16380791
2209955,1527755,13240311
2209971,2526681,19456699
2210003,-12339192,45714956
2210052,-1470261,14524058
2210102,1733442,12684645
2210300,-1525201,14934540
2210359,-611084,13346866
2210375,295693,9869271
2210391,186023,10610773
2210409,676457,38722724
2210508,2877917,32822100
2210607,2879564,69565413
2210623,692992,13384045
2210631,-84174,18514652
2210656,17319738,20140168
2210706,5186572,43590199
2210805,-4590961,30878822
2210904,103299,12900000
2210938,-1012533,15261676
2210953,-1925440,11318077
2210979,1806142,10797973
2211001,332683399,2532170425
2211100,12733884,76941375
2211209,11137922,82540471
2211308,609706,46389440
2211357,1088022,13859888
2211407,3968551,13411132
2211506,460803,12579716
2211605,78521,10818836
2211704,1104968,12722542
2300101,18248497,24801143
2300150,47499787,37464540
2300200,13253070,121884388
2300309,40659372,101323247
2300408,8650878,49726649
2300507,5728707,27928522
2300606,7337333,22398245
2300705,10200700,36274911
2300754,44091724,95683520
2300804,3541,22007236
2300903,4712408,32216075
2301000,-16656032,239181108
2301109,35088305,188607512
2301208,36612634,66705770
2301257,3614543,29799012
2301307,12976288,74269023
2301406,10647728,31731831
2301505,2541101,22951126
2301604,1527400,45511439
2301703,25517445,51402774
2301802,11722444,25666053
2301851,25857768,43293165
2301901,11257708,204854423
2301950,8091759,48605062
2302008,12708300,41103239
2302057,-436396,37108084
2302107,62428440,72735985
2302206,29314109,107411206
2302305,3417177,56221854
2302404,18161949,90335548
2302503,-42765918,129299931
2302602,24718895,131254682
2302701,53020012,52740981
2302800,69634767,175638297
2302909,15303909,43181261
2303006,50021416,59384354
2303105,-594335,48847165
2303204,25768147,58747858
2303303,13916964,45279655
2303402,-72831,38733067
2303501,49033998,143557618
2303600,10927350,39209372
2303659,9340507,30515777
2303709,52620507,596206480
2303808,7993902,50554941
2303907,737270,27955297
2303931,12522633,30104368
2303956,10929312,49145832
2304004,10937025,45469181
2304103,32104700,146182356
2304202,8401803,254798541
2304236,8395268,44323089
2304251,12106881,64056988
2304269,2396406,23844070
2304277,11285825,20777238
2304285,-139047174,273183390
2304301,-1842994,49732295
2304350,20421844,49637464
2304400,48271949,6082259997
2304459,7645891,40602033
2304509,4641305,39803175
2304608,7263181,23526623
2304707,23540171,108147365
2304806,9654467,17950578
2304905,9261147,28774692
2304954,16425219,52387196
2305001,14448773,86184531
2305100,5371118,22429823
2305209,7107708,39597254
2305233,35951284,171828367
2305266,19662749,27536939
2305308,1877099,56521053
2305332,19568680,33572618
2305357,37230192,68906897
2305407,66128953,160634785
2305506,78481928,214034134
2305605,6234975,46990828
2305654,4507705,31439164
2305704,7084340,27003078
2305803,5944510,94310696
2305902,2361095,76573328
2306009,15615707,40635867
2306108,20801200,54723978
2306207,18602889,20280048
2306256,11281557,91677221
2306306,-4368561,96015411
2306405,45572415,257002378
2306504,15586070,39957958
2306553,13311507,104177773
2306603,29520303,59679639
2306702,20666334,50306717
2306801,12804579,29668448
2306900,4707565,77814994
2307007,36438192,62983224
2307106,35533297,56694175
2307205,-180689,25804597
2307254,10227326,69704050
2307304,93205531,494888166
2307403,5898869,54124916
2307502,15203895,74644464
2307601,82900931,123040942
2307635,19495349,38271900
2307650,120773516,656201058
2307700,-38438265,186747558
2307809,1090584,59993115
2307908,4642617,26497046
2308005,15363033,64739214
2308104,3740696,88165324
2308203,5099533,37577705
2308302,-12321756,55778573
2308351,438663,32766032
2308377,10542405,27917078
2308401,30998221,81908890
2308500,51147636,74854815
2308609,22002275,45955835
2308708,10157216,175655304
2308807,2748810,22778008
2308906,-2116724,43867996
2309003,-880049,35176804
2309102,16494954,28272027
2309201,-9556152,38871969
2309300,1764457,65436626
2309409,34618918,58329472
2309458,19018758,59432291
2309508,37119042,46653296
2309607,61839343,125044587
2309706,27586764,144632374
2309805,4844298,28841911
2309904,15468042,21605546
2310001,31777226,23834083
2310100,19859493,25921279
2310209,41741365,82784464
2310258,21459813,75520317
2310308,-2391622,65164626
2310407,11219250,25412422
2310506,11304429,87660900
2310605,-1326328,26744030
2310704,29582835,80380711
2310803,-17106459,51033088
2310852,18402444,50641342
2310902,7879139,34582947
2310951,-1572884,25419650
2311009,13098039,29400434
2311108,-3467904,39296314
2311207,10950827,24913250
2311231,10117290,21466155
2311264,-2449753,47506949
2311306,42185803,163791291
2311355,6705444,37324793
2311405,80497993,163370920
2311504,1865558,56869796
2311603,19979885,64204624
2311702,14013897,43850403
2311801,25735507,150942349
2311900,19653214,36083786
2311959,2220960,45303177
2312007,40372649,57839204
2312106,15691786,41174682
2312205,27098756,85293224
2312304,14416014,97262958
2312403,1733739,231455693
2312502,3507271,20597181
2312601,5134111,28070213
2312700,2789,50015516
2312809,6584984,18752949
2312908,-60168480,615565876
2313005,10107575,44768564
2313104,22087430,58215656
2313203,10005009,65787994
2313252,16240817,22245594
2313302,-24166655,186850099
2313351,5943660,45840842
2313500,14438587,121257966
2313559,6991889,36394457
2313609,3157317,75894650
2313708,9491160,18646166
2313757,14493031,44197188
2313807,3919573,46161924
2313906,9728990,37251548
2313955,275175,
2314003,22178102,77910214
2314102,1375939,124417311
2400109,7593911,24421900
2400208,-11115993,111475674
2400307,7043335,34503602
2400505,1500415,44362029
2400604,-186419,15608968
2400703,-723252,53656397
2400802,1715145,24103035
2400901,3619961,16640134
2401008,-14876513,68441519
2401107,-13761780,89867881
2401206,5518997,36491933
2401305,1559818,18979560
2401404,5443676,21775222
2401453,-6656078,65701144
2401503,1035762,14543514
2401602,5945933,15199332
2401651,1536210,16810102
2401701,13485080,22990171
2401800,2908447,27530628
2401859,-66728,14995921
2401909,-2103822,13539179
2402006,15325887,136252043
2402105,11668094,26123715
2402204,34226073,66117210
2402303,15698606,44937624
2402402,2183127,18003024
2402501,5110918,38201262
2402600,20208573,130115901
2402709,4879329,23231710
2402808,7916871,14836092
2402907,2949211,15172220
2403004,-4215883,18310045
2403103,19382946,77089354
2403202,1735305,19005204
2403251,-43886483,424524766
2403301,1000923,15751685
2403400,1303658,
2403509,528536,21186319
2403608,18969521,79514771
2403707,3971792,19940764
2403756,2277380,12459151
2403806,-231824,17322081
2403905,1087364,11786140
2404101,-4611398,24335016
2404200,45384723,77449996
2404309,562684,40557677
2404408,1994625,34016451
2404507,22233053,241751592
2404606,-211210,44305080
2404705,4480512,31438366
2404804,-274906,11876546
2404853,-968470,18564410
2404903,1807035,15804069
2405009,5431122,17191462
2405108,2622893,20056237
2405207,4337049,15260984
2405306,-4547117,20211779
2405405,6869028,15502469
2405504,-967847,14503354
2405603,5646496,29328620
2405702,2478639,23146840
2405801,-2273915,75154959
2405900,11278,12553185
2406007,-718078,17719313
2406106,6114521,40969804
2406155,-625661,13352613
2406205,3889375,
2406304,6446861,19258611
2406403,145249,12936819
2406502,12968220,34200360
2406601,10748237,21784127
2406700,811390,25583868
2406809,5661975,14716093
2406908,2341601,13962233
2407104,-34435057,163791190
2407203,-8213262,86183200
2407252,-1828228,14856481
2407302,307167,18137535
2407401,2103356,18660947
2407500,12745966,33808728
2407609,5163017,16122474
2407708,9581526,24426865
2407807,756124,47135751
2407906,-2844243,12850975
2408003,143746883,584640984
2408102,396046845,2032698305
2408201,-281857,65619043
2408300,26615474,66467660
2408409,-3901747,13718924
2408508,-4686625,14404296
2408706,8036466,13177195
2408904,2527351,37653963
2408953,6477528,31236805
2409100,5665939,27753714
2409209,2867179,13611323
2409308,1549393,24242315
2409332,-6838909,12907544
2409407,30696256,59912528
2409605,9761850,13887292
2409704,3311598,16822446
2409803,5172836,31978643
2409902,10576117,39682367
2410009,562684,40557677
2410108,3928461,27892875
2410207,-1613538,16631489
2410256,1250027,22464713
2410306,-3191976,24411364
2410405,6930991,20699428
2410603,1969951,14716747
2410702,813051,13099164
2410801,-561778,13994245
2410900,9156063,18865995
2411007,-628888,15617617
2411056,4765838,24412669
2411106,7266624,14755255
2411205,11786808,72869919
2411403,6081618,29241403
2411429,841610,11804691
2411502,11906141,45838754
2411601,-1161263,20752857
2411700,1744808,14629273
2411809,-1160912,13115492
2411908,2163149,14876680
2412005,-81809915,249388395
2412104,1363643,15071194
2412203,32833698,92002039
2412302,16458090,26191270
2412401,-2786214,16565845
2412500,3040333,45098880
2412559,7248152,28880281
2412609,6385668,36457624
2412807,5933722,17824748
2412906,13922157,29813665
2413003,-1066160,16426834
2413102,3633604,16702927
2413201,-408446,14989090
2413300,7544798,13445106
2413359,3705445,39769531
2413409,-2593210,19358059
2413508,27552,19309316
2413557,-157915,15470979
2413607,2578940,16782825
2413706,4296652,15121384
2413805,-106750,13060580
2413904,14044109,24923161
2414001,16998518,32164278
2414209,8111684,42892659
2414308,-1154579,12525073
2414407,25972878,70076463
2414456,2900512,14498140
2414506,-489906,21127581
2414605,2673619,45363722
2414704,-389581,14117387
2414753,-81320,15260773
2414803,6276186,25790887
2415008,3608628,12892843
2500106,5906821,25390323
2500205,1023986,15060410
2500304,34911450,
2500403,1252364,
2500502,614114,32062116
2500536,-493659,16208654
2500700,24766103,41100776
2500734,944526,11687897
2500775,-453652,16748054
2500809,31801053,33854846
2501005,25292426,39768948
2501104,27976733,38180025
2501153,-515272,11177257
2501203,5945124,
2501302,28711959,
2501351,2368298,
2501401,13729405,22708707
2501500,24079104,45629496
2501534,19179,15031122
2501575,1505766,25088326
2501609,8665976,30020342
2501807,99109779,157071348
2501906,10842635,31928698
2502003,1551996,18975057
2502052,-1530931,15477514
2502102,5433314,14383557
2502151,-161314,22924379
2502201,11748604,13643745
2502300,2856394,14673578
2502409,9562229,21427965
2502508,19195727,39741929
2502607,9889488,15812034
2502805,10302967,32310246
2502904,9311185,15393617
