codigo,exist_edu,exist_cult,exist_patr,exist_saude,exist_assist,exist_seg_al,exist_dir_mulh,exist_cri_adol,atv_edu,atv_cult,atv_patri,atv_saude,atv_assist,atv_seg_al,atv_dir_mulh,atv_cri_adol,delib_edu,delib_cult,delib_pres_patri,delib_saude,delib_seg_al,delib_cri_adol,consult_sau,consult_seg_al,consult_cri_adol,consult_educ,consult_cult,consult_patri,norm_edu,norm_cult,norm_patri,norm_sau,norm_seg_ali,norm_cri_adol,fisc_edu,fisc_cult,fisc_patri,fisc_sau,fisc_seg_ali,fisc_cri_adol,d_atv_edu,d_atv_cult,d_atv_patri,d_atv_saude,d_atv_assist,d_atv_seg_al,d_atv_dir_mulh,d_atv_cri_adol,soma_exist_cons,soma_atv_cons,soma_delib_cons,soma_consult_cons,soma_norm_cons,soma_fisc_cons,eq1_exist,eq1_atv,eq1_delib,eq1_consult,eq1_norm,eq1_fisc,grau_part,municipio,estado,_merge
1100379,1,0,0,1,1,0,0,1,0,0,0,6,7,0,0,4,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,3,3,3,3,1,2,2.875,2.875,3.5,3.5,1.8333334,2.6666667,3.075,Prefeitura Municipal de Alto Alegre dos Parecis - RO,RO,matched (3)
1100403,1,0,0,1,1,0,0,1,3,0,0,12,12,0,0,12,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,4,4,3,1,1,1,3.5,3.5,3.5,1.8333334,1.8333334,1.8333334,2.95,Prefeitura Municipal de Alto Paraíso - RO,RO,matched (3)
1100452,1,0,0,1,1,1,0,1,33,0,0,25,20,0,0,4,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,4,4,4,4,3,3,3.5,3.5,4.3333335,4.3333335,3.5,3.5,3.95,Prefeitura Municipal de Buritis - RO,RO,matched (3)
1100502,0,0,0,1,1,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,1,2.25,2.25,1,1,1,1.8333334,1.3916667,Prefeitura Municipal de Novo Horizonte do Oeste - RO,RO,matched (3)
1100601,1,0,0,1,1,1,0,1,36,0,0,14,9,2,0,8,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,5,5,4,2,3,3,4.125,4.125,4.3333335,2.6666667,3.5,3.5,3.9166667,Prefeitura Municipal de Cacaulândia - RO,RO,matched (3)
1100700,1,0,0,1,1,0,0,1,0,0,0,3,10,0,0,8,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,3,3,3,2,1,1,2.875,2.875,3.5,2.6666667,1.8333334,1.8333334,2.8916667,Prefeitura Municipal de Campo Novo de Rondônia - RO,RO,matched (3)
1100809,1,0,0,1,1,0,0,1,1,0,0,12,12,0,0,12,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,4,4,2,2,1,1,3.5,3.5,2.6666667,2.6666667,1.8333334,1.8333334,2.6833334,Prefeitura Municipal de Candeias do Jamari - RO,RO,matched (3)
1100908,0,0,0,1,1,0,0,1,0,0,0,12,4,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,3,3,2,0,0,1,2.875,2.875,2.6666667,1,1,1.8333334,2.2583334,Prefeitura Municipal de Castanheiras - RO,RO,matched (3)
1100924,1,0,0,1,1,1,0,1,6,0,0,13,6,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,4,4,4,1,1,4,3.5,3.5,4.3333335,1.8333334,1.8333334,4.3333335,3.5833335,Prefeitura Municipal de Chupinguaia - RO,RO,matched (3)
1100940,1,0,0,1,1,0,0,1,20,0,0,12,14,0,0,5,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,4,4,3,0,2,3,3.5,3.5,3.5,1,2.6666667,3.5,3.1333334,Prefeitura Municipal de Cujubim - RO,RO,matched (3)
1101005,1,0,0,1,1,0,0,1,10,0,0,12,10,0,0,10,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,4,4,3,0,0,1,3.5,3.5,3.5,1,1,1.8333334,2.7666667,Prefeitura Municipal de Governador Jorge Teixeira - RO,RO,matched (3)
1101104,0,0,0,1,1,0,0,1,0,0,0,6,12,0,0,12,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,3,3,1,2,2,1,2.875,2.875,1.8333334,2.6666667,2.6666667,1.8333334,2.2666667,Prefeitura Municipal de Itapuã do Oeste - RO,RO,matched (3)
1101203,0,0,0,1,1,0,0,1,0,0,0,10,15,0,0,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,3,3,2,1,1,1,2.875,2.875,2.6666667,1.8333334,1.8333334,1.8333334,2.4416666,Prefeitura Municipal de Ministro Andreazza - RO,RO,matched (3)
1101302,1,0,0,1,1,0,0,1,6,0,0,4,5,0,0,12,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,4,4,3,2,2,2,3.5,3.5,3.5,2.6666667,2.6666667,2.6666667,3.2250001,Prefeitura Municipal de Mirante da Serra - RO,RO,matched (3)
1101401,1,0,0,1,1,1,1,1,36,0,0,12,6,0,0,7,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,4,4,3,4,3,3,3.5,3.5,3.5,4.3333335,3.5,3.5,3.5916667,Prefeitura Municipal de Monte Negro - RO,RO,matched (3)
1101435,0,0,0,1,1,0,0,1,0,0,0,12,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,3,2,1,0,0,2,2.875,2.25,1.8333334,1,1,2.6666667,1.9166667,Prefeitura Municipal de Nova União - RO,RO,matched (3)
1101450,1,0,0,1,1,0,0,1,2,0,0,8,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,4,3,1,0,0,2,3.5,2.875,1.8333334,1,1,2.6666667,2.0666666,Prefeitura Municipal de Parecis - RO,RO,matched (3)
1101468,0,0,0,1,1,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,2,0,1,0,1,2.25,2.25,1,1.8333334,1,1.8333334,1.4833333,Prefeitura Municipal de Pimenteiras do Oeste - RO,RO,matched (3)
1101476,1,0,0,1,1,0,0,0,11,0,0,10,8,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,3,3,2,1,1,2,2.875,2.875,2.6666667,1.8333334,1.8333334,2.6666667,2.5333333,Prefeitura Municipal de Primavera de Rondônia - RO,RO,matched (3)
1101484,1,0,0,1,1,1,0,0,5,0,0,16,4,6,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,4,4,3,1,2,2,3.5,3.5,3.5,1.8333334,2.6666667,2.6666667,3.1333334,Prefeitura Municipal de São Felipe D'Oeste - RO,RO,matched (3)
1101492,1,0,0,1,1,1,0,1,10,0,0,10,10,10,0,12,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,5,5,4,2,3,4,4.125,4.125,4.3333335,2.6666667,3.5,4.3333335,4.0083332,Prefeitura Municipal de São Francisco do Guaporé - RO,RO,matched (3)
1101500,1,0,0,1,1,0,0,0,36,0,0,12,12,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,3,3,2,1,2,2,2.875,2.875,2.6666667,1.8333334,2.6666667,2.6666667,2.625,Prefeitura Municipal de Seringueiras - RO,RO,matched (3)
1101559,0,0,0,1,1,0,0,1,0,0,0,12,12,0,0,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,3,3,2,0,1,1,2.875,2.875,2.6666667,1,1.8333334,1.8333334,2.3500001,Prefeitura Municipal de Teixeirópolis - RO,RO,matched (3)
1101609,1,0,0,1,1,0,0,1,7,0,0,12,6,0,0,3,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,4,4,3,1,1,2,3.5,3.5,3.5,1.8333334,1.8333334,2.6666667,3.0416667,Prefeitura Municipal de Theobroma - RO,RO,matched (3)
1101708,0,0,0,1,1,1,0,1,0,0,0,12,12,3,0,12,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,4,4,3,2,2,2,3.5,3.5,3.5,2.6666667,2.6666667,2.6666667,3.2250001,Prefeitura Municipal de Urupá - RO,RO,matched (3)
1101757,1,0,0,1,1,0,0,1,34,0,0,8,8,0,0,9,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,4,4,2,3,1,3,3.5,3.5,2.6666667,3.5,1.8333334,3.5,2.9583333,Prefeitura Municipal de Vale do Anari - RO,RO,matched (3)
1101807,0,0,0,1,1,1,0,1,0,0,0,12,12,10,0,12,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,4,4,3,3,3,2,3.5,3.5,3.5,3.5,3.5,2.6666667,3.4083333,Prefeitura Municipal de Vale do Paraíso - RO,RO,matched (3)
1200013,1,0,0,1,1,0,0,1,6,0,0,12,15,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,4,4,1,1,2,3,3.5,3.5,1.8333334,1.8333334,2.6666667,3.5,2.5083334,Prefeitura Municipal de Acrelândia - AC,AC,matched (3)
1200054,1,1,0,1,1,0,1,1,2,2,0,12,5,0,5,3,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,6,6,4,2,2,3,4.75,4.75,4.3333335,2.6666667,2.6666667,3.5,3.9750001,Prefeitura Municipal de Assis Brasil - AC,AC,matched (3)
