municipio,codigo,receita_corrente,divida_consolidada,pessoal_encargos,cap_pag_div,eq1_cap_pag_div
Prefeitura Municipal de Ascurra - SC,4201703,22810687.54,0,10760606.24,0,2.8928819
Prefeitura Municipal de Atalanta - SC,4201802,17027191.64,0,8154110.49,0,2.8928819
Prefeitura Municipal de Aurora - SC,4201901,22993523.88,29183,11142042.28,.0024623924,2.8929627
Prefeitura Municipal de Balneário Arroio do Silva - SC,4201950,35112246.8,1694727,17436967.35,.095881201,2.8960238
Prefeitura Municipal de Balneário Camboriú - SC,4202008,792937761.03,93038463,427493216.38,.25458983,2.9012239
Prefeitura Municipal de Balneário Barra do Sul - SC,4202057,44313122.58,782963,18586597.7,.030434076,2.8938792
Prefeitura Municipal de Balneário Gaivota - SC,4202073,38623761.26,754682,19185840.66,.038825244,2.8941541
Prefeitura Municipal de Bandeirante - SC,4202081,15822432.21,0,7757948.42,0,2.8928819
Prefeitura Municipal de Barra Bonita - SC,4202099,13465082.33,0,6522944.21,0,2.8928819
Prefeitura Municipal de Barra Velha - SC,4202107,104354462.14,8074180,61586753.78,.1887915,2.8990681
Prefeitura Municipal de Bela Vista do Toldo - SC,4202131,23309760.44,5414142,11976052.83,.47770265,2.9085348
Prefeitura Municipal de Belmonte - SC,4202156,15820238.17,178187,7004415.36,.020212181,2.8935442
Prefeitura Municipal de Benedito Novo - SC,4202206,30493705.86,831106,13632411.79,.049290761,2.8944969
Prefeitura Municipal de Biguaçu - SC,4202305,206391898.1,23685370,101261882.19,.22529598,2.900264
Prefeitura Municipal de Blumenau - SC,4202404,1481332242.92,397412346,790049878.09,.57489151,2.9117191
Prefeitura Municipal de Bocaina do Sul - SC,4202438,16947530.75,0,8900172.25,0,2.8928819
Prefeitura Municipal de Bombinhas - SC,4202453,133694685.98,0,58041999.82,0,2.8928819
Prefeitura Municipal de Bom Jardim da Serra - SC,4202503,20796808.59,3874524,9083879.060000001,.33079034,2.9037209
Prefeitura Municipal de Bom Jesus - SC,4202537,17003356.6,0,7962546.63,0,2.8928819
Prefeitura Municipal de Bom Jesus do Oeste - SC,4202578,15605487.33,0,6861735.33,0,2.8928819
Prefeitura Municipal de Bom Retiro - SC,4202602,26090159.08,23213,11931521.25,.0016394939,2.8929358
Prefeitura Municipal de Botuverá - SC,4202701,23110902.75,158995,10932661.3,.013055662,2.8933098
Prefeitura Municipal de Braço do Norte - SC,4202800,93592354.34,4250615,41734336.48,.0819664,2.8955677
Prefeitura Municipal de Braço do Trombudo - SC,4202859,21172613.61,0,9748433.449999999,0,2.8928819
Prefeitura Municipal de Brunópolis - SC,4202875,15688303.68,0,7340679.16,0,2.8928819
Prefeitura Municipal de Brusque - SC,4202909,420029472.86,64834716,213950054.3,.31461033,2.9031906
Prefeitura Municipal de Caçador - SC,4203006,212725362.06,19229348,119221422.45,.20565282,2.8996205
Prefeitura Municipal de Caibi - SC,4203105,23844934.33,0,10898403.75,0,2.8928819
Prefeitura Municipal de Calmon - SC,4203154,19382860.62,3491933,9418312.460000001,.35043564,2.9043646
Prefeitura Municipal de Camboriú - SC,4203204,200042483.13,9886148,116136700.45,.11782439,2.8967426
Prefeitura Municipal de Capão Alto - SC,4203253,22138217.56,0,11390596.55,0,2.8928819
Prefeitura Municipal de Campo Alegre - SC,4203303,52458728.05,0,24898732.19,0,2.8928819
Prefeitura Municipal de Campo Belo do Sul - SC,4203402,26217901.56,62144,12687127.08,.0045927898,2.8930323
Prefeitura Municipal de Campo Erê - SC,4203501,31195582.52,190202,16090761.07,.012592138,2.8932946
