codibge,uf,valor,sp
3527108,SP,-19382551,1
1301704,AM,-5631344,0
2613800,PE,1885461,0
2905701,BA,329256365,0
2504207,PB,5488461,0
2302404,CE,18161949,0
4307005,RS,-42002379,0
3538600,SP,-67969011,1
2509057,PB,8258402,0
2802601,SE,13501895,0
4314605,RS,-1768085,0
3528601,SP,-6696435,1
2304251,CE,12106881,0
3549904,SP,-87775721,1
2802007,SE,29847442,0
3524402,SP,-204045378,1
4307708,RS,-20891383,0
4219101,SC,-3919313,0
2605509,PE,-379799,0
4306908,RS,5267876,0
3526704,SP,13001690,1
3502804,SP,179149866,1
4100400,PR,57930118,0
2800704,SE,-1362241,0
4117503,PR,-8211132,0
3505807,SP,-6607107,1
3552205,SP,-65008695,1
3117405,MG,-1170156,0
2313609,CE,3157317,0
2507507,PB,-867956782,0
3523305,SP,-574964,1
2304459,CE,7645891,0
3523909,SP,62190030,1
2504157,PB,-611317,0
2702306,AL,19694146,0
4111902,PR,224851,0
3511409,SP,13714514,1
4104303,PR,-6751150,0
3515509,SP,-13090316,1
4204004,SC,-8515423,0
2401008,RN,-14876513,0
4202008,SC,-165917344,0
3131604,MG,2445890,0
2900355,BA,-756654,0
3510401,SP,44147580,1
3556206,SP,448837397,1
4128104,PR,-24433137,0
4206009,SC,-4530099,0
3537602,SP,28896300,1
5105259,MT,-29321338,0
2414209,RN,8111684,0
2905800,BA,46571012,0
4207577,SC,-2351116,0
1501402,PA,828675903,0
3507159,SP,129410,1
3506607,SP,6819538,1
3540705,SP,-6769508,1
4202503,SC,-3384974,0
3533908,SP,-128835692,1
2501005,PB,25292426,0
4310330,RS,41182109,0
5210604,GO,749947,0
2900801,BA,10061666,0
3522000,SP,-2734934,1
2927200,BA,43533203,0
1508407,PA,23263430,0
3550902,SP,26022696,1
3529807,SP,3329211,1
2807105,SE,56651550,0
5004502,MS,5076106,0
2104057,MA,18244509,0
2410108,RN,3928461,0
2807501,SE,450786,0
2932804,BA,9597846,0
4204905,SC,-2238223,0
2603405,PE,1823904,0
2605400,PE,23060786,0
5200506,GO,-4771048,0
4101408,PR,10067546,0
5219738,GO,-8089881,0
4216404,SC,-3260131,0
5107040,MT,-18858519,0
4305801,RS,1899721,0
3113107,MG,-198970,0
2904001,BA,19695943,0
2613107,PE,-3720299,0
3557006,SP,-57824112,1
4322525,RS,-2813996,0
3131505,MG,7840012,0
2207777,PI,1881655,0
2613404,PE,-7278879,0
2305233,CE,35951284,0
3550308,SP,35443735693,1
2909109,BA,16384550,0
2402600,RN,20208573,0
4218103,SC,930741,0
2306207,CE,18602889,0
2900702,BA,49899642,0
2307650,CE,120773516,0
3551603,SP,247070,1
2615102,PE,-421971,0
1200252,AC,6514364,0
2313005,CE,10107575,0
2933406,BA,6212084,0
2406007,RN,-718078,0
2904852,BA,-1840158,0
2906006,BA,77673536,0
2603306,PE,4591454,0
4213609,SC,-19391882,0
1200104,AC,-1181605,0
5221700,GO,2436603,0
3513702,SP,-14909581,1
2900900,BA,8212025,0
3147105,MG,38234412,0
1505106,PA,7092158,0
2604403,PE,4915463,0
4118204,PR,-151701784,0
2806206,SE,-1148826,0
5104542,MT,-3866440,0
2922003,BA,42210855,0
3128204,MG,2552317,0
3555356,SP,-188089,1
2616407,PE,-25447575,0
2608602,PE,1804203,0
2513802,PB,3867283,0
2616308,PE,29646062,0
4209854,SC,-3916093,0
2902658,BA,-11409169,0
4210605,SC,-4425381,0
2611408,PE,17124723,0
5216007,GO,861915,0
2511301,PB,39135679,0
2803906,SE,9241785,0
3118601,MG,303485766,0
2911105,BA,11729726,0
3503406,SP,-3062676,1
2609402,PE,57365778,0
2906808,BA,31946452,0
3520400,SP,-878542767,1
2411429,RN,841610,0
4127304,PR,-1702546,0
3507902,SP,-23329289,1
4315008,RS,551089,0
5213756,GO,2149283,0
2906824,BA,9758430,0
3511508,SP,-21057716,1
2611804,PE,29730218,0
3118304,MG,59077064,0
4111308,PR,1862607,0
5205703,GO,448558,0
3551108,SP,7752819,1
2303956,CE,10929312,0
4122602,PR,-324061,0
2901908,BA,9619765,0
2300606,CE,7337333,0
2504405,PB,33024731,0
3552809,SP,47750555,1
2508901,PB,58859776,0
2513505,PB,11770026,0
2933109,BA,1967633,0
1503408,PA,744125,0
3141504,MG,2112367,0
3504503,SP,68917671,1
5108402,MT,220135761,0
4106902,PR,-448706372,0
2407708,RN,9581526,0
2907509,BA,41295483,0
2605905,PE,12262637,0
3535705,SP,-2540015,1
3542909,SP,-8248580,1
2503100,PB,1752529,0
3128105,MG,3299361,0
3506300,SP,-106211,1
2502904,PB,9311185,0
2500536,PB,-493659,0
2507002,PB,24775600,0
3112901,MG,1913975,0
2104107,MA,-3762497,0
2406155,RN,-625661,0
2927002,BA,42985750,0
3106200,MG,1716046898,0
4314902,RS,1233249865,0
2604809,PE,8380755,0
2401909,RN,-2103822,0
2614600,PE,14218733,0
2605707,PE,20497234,0
4315602,RS,27492317,0
1100189,RO,682785,0
3543253,SP,-169772,1
2506251,PB,4226867,0
3512209,SP,10190002,1
5213103,GO,-50034222,0
4317103,RS,-15907760,0
2613909,PE,39633803,0
3543303,SP,78553414,1
2903607,BA,21522772,0
2503753,PB,502706,0
2411502,RN,11906141,0
5221551,GO,870654,0
2108603,MA,25140271,0
2600500,PE,26119821,0
2613305,PE,14365409,0
4304606,RS,317801134,0
3546256,SP,-62134,1
2509370,PB,241063,0
4108809,PR,-16637040,0
2906402,BA,17401313,0
4204301,SC,-57862800,0
4300851,RS,-2856346,0
5002001,MS,10099958,0
2415008,RN,3608628,0
3535507,SP,11063054,1
2704401,AL,6313330,0
5212105,GO,573233,0
3145604,MG,-47022059,0
4203501,SC,-5920413,0
3554508,SP,11878709,1
3524600,SP,-1714446,1
5219506,GO,-1920698,0
2411700,RN,1744808,0
2211001,PI,332683399,0
3512803,SP,71646155,1
2308500,CE,51147636,0
3517208,SP,10185181,1
2301802,CE,11722444,0
4319901,RS,-2383684,0
3113305,MG,2988026,0
3518305,SP,7450285,1
4204608,SC,199776090,0
3550100,SP,-4303730,1
2912004,BA,11075491,0
3205002,ES,118174455,0
3170107,MG,103680330,0
5102702,MT,-557467,0
4217105,SC,-1197347,0
2919926,BA,24997983,0
2607208,PE,16894804,0
3521606,SP,4890969,1
3545308,SP,-8012434,1
2604205,PE,12644536,0
2511608,PB,1824329,0
2614501,PE,6487680,0
3120904,MG,-16841055,0
3527405,SP,-3076043,1
2505303,PB,792856,0
2305902,CE,2361095,0
2506004,PB,-3129642,0
2604700,PE,-3027271,0
3544400,SP,-1520994,1
2804102,SE,-1561168,0
2602001,PE,6068647,0
4322509,RS,-2734583,0
4104204,PR,-33082717,0
